,model,link,price,depreciation,reg_date,mileage,road_tax,coe,eng_cap,curb_weight,manufactured,transmission,omv,power,num_owners,type,category
65,Peugeot 508 1.6A Turbo Allure Plus,info.php?ID=948765&DL=3287,"$32,200 ","                                $11,010 /yrView models with similar depre ",22-Jun-2012(1yr 6mths 5days COE left)                            ,"                                        110,000 km (13k /yr)                                     ",                                    	$742 /yr,"$56,551","1,598 cc                                    ","                                    1,410 kg                                    ",2012,Auto,"$31,095",115.0 kW (154 bhp),1,Luxury Sedan,"Category
PARF Car, Premium Ad Car "
66,Volkswagen Polo GTI 3DR,info.php?ID=939598&DL=3287,"$42,800 ","                                $16,220 /yrView models with similar depre ",09-Nov-2012(1yr 10mths 23days COE left)                            ,"                                        75,000 km (9.3k /yr)                                     ",                                    	$620 /yr,"$77,201","1,390 cc                                    ","                                    1,269 kg                                    ",2012,Auto,"$24,109",132.0 kW (177 bhp),1,Hatchback,"Category
PARF Car, Premium Ad Car, Low Mileage Car "
67,Lexus RX350 MR (COE till 03/2027),info.php?ID=938200&DL=3707,"$55,800 ","                                $8,980 /yr                            ",05-Mar-2007(6yrs 2mths 16days COE left)                            ,"                                        175,000 km (12.7k /yr)                                     ","                                    	$4,340 /yr","$50,347","3,456 cc                                    ","                                    1,915 kg                                    ",2007,Auto,"$51,159",203.0 kW (272 bhp),3,SUV,"Category
COE Car, Premium Ad Car "
68,Audi A5 Sportback 2.0A TFSI S-tronic Design,info.php?ID=934573&DL=3287,"$154,800 ","                                $15,190 /yrView models with similar depre ",26-Aug-2019(8yrs 8mths 9days COE left)                            ,"                                        35,000 km (26.7k /yr)                                     ","                                    	$1,194 /yr","$38,602","1,984 cc                                    ","                                    1,535 kg                                    ",2019,Auto,"$38,148",140.0 kW (187 bhp),1,Luxury Sedan,"Category
PARF Car, Premium Ad Car "
69,Porsche Panamera 3.6A PDK (New 10-yr COE),info.php?ID=930818&DL=3175,"$133,800 ","                                $13,370 /yr                            ",11-Jan-2011(10yrs  COE left)                            ,"                                        144,000 km (14.5k /yr)                                     ","                                    	$3,332 /yr",N.A.,"3,605 cc                                    ","                                    1,760 kg                                    ",2010,Auto,"$106,927",224.0 kW (300 bhp),4,Sports Car,"Category
COE Car, Premium Ad Car "
70,Toyota Vellfire 2.5A Z G-Edition,info.php?ID=927627&DL=3707,"$171,800 ","                                $15,940 /yrView models with similar depre ",12-Sep-2019(8yrs 8mths 26days COE left)                            ,"                                        21,000 km (16.6k /yr)                                     ","                                    	$1,792 /yr","$38,602","2,493 cc                                    ","                                    2,030 kg                                    ",2018,Auto,"$51,638",134.0 kW (179 bhp),1,MPV,"Category
PARF Car, Premium Ad Car "
71,Mercedes-Benz E-Class E200 Avantgarde,info.php?ID=952972&DL=1460,"$149,800 ","                                $16,740 /yrView models with similar depre ",01-Dec-2017(6yrs 11mths 14days COE left)                            ,                                        N.A.                                     ,"                                    	$1,202 /yr","$57,414","1,991 cc                                    ","                                    1,605 kg                                    ",2017,Auto,"$52,567",135.0 kW (181 bhp),2,Luxury Sedan,"Category
PARF Car "
72,Nissan Qashqai 1.2A DIG-T,info.php?ID=952899&DL=3108,"$59,999 ","                                $9,230 /yrView models with similar depre ",19-Sep-2016(5yrs 9mths 2days COE left)                            ,"                                        38,113 km (9k /yr)                                     ",                                    	$508 /yr,"$51,506","1,197 cc                                    ","                                    1,285 kg                                    ",2016,Auto,"$18,689",85.0 kW (113 bhp),2,SUV,"Category
PARF Car, Consignment Car, Low Mileage Car "
73,Honda Civic 1.6A VTi (COE till 11/2022),info.php?ID=952360&DL=1050,"$14,800 ","                                $7,570 /yr                            ",13-Dec-2007(1yr 11mths 14days COE left)                            ,"                                        163,472 km (12.6k /yr)                                     ",                                    	$962 /yr,"$20,997","1,595 cc                                    ","                                    1,220 kg                                    ",2007,Auto,"$18,625",92.0 kW (123 bhp),3,Mid-Sized Sedan,"Category
COE Car, Premium Ad Car "
74,Volvo XC60 T5 Momentum,info.php?ID=949897&DL=3287,"$163,800 ","                                $17,340 /yrView models with similar depre ",01-Feb-2019(8yrs 1mth 15days COE left)                            ,"                                        30,000 km (16k /yr)                                     ","                                    	$1,176 /yr","$33,689","1,969 cc                                    ","                                    1,899 kg                                    ",2018,Auto,"$38,330",187.0 kW (250 bhp),1,SUV,"Category
PARF Car, Premium Ad Car "
75,Lexus NX Turbo NX200t Luxury Sunroof,info.php?ID=952971&DL=1079,"$121,800 ","                                $16,060 /yrView models with similar depre ",28-Sep-2016(5yrs 9mths 11days COE left)                            ,"                                        59,900 km (14.2k /yr)                                     ","                                    	$1,210 /yr","$56,956","1,998 cc                                    ","                                    1,755 kg                                    ",2016,Auto,"$47,062",175.0 kW (234 bhp),1,SUV,"Category
PARF Car "
